what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,org.eclipse.equinox.p2.directorywatcher,1375779500789
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,org.eclipse.equinox.p2.operations,1375779500821
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,org.eclipse.equinox.p2.reconciler.dropins,1375779500836
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,org.eclipse.equinox.preferences,1375779500868
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,org.eclipse.equinox.registry,1375779500899
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,org.eclipse.equinox.security,1375779500946
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,org.eclipse.equinox.util,1375779500946
started,bundle,org.eclipse.help,3.5.100.v20110426,org.eclipse.help,1375779500961
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,org.eclipse.jdt.core,1375779500977
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,org.eclipse.jdt.core.manipulation,1375779501008
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,org.eclipse.jdt.launching,1375779501040
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,org.eclipse.jdt.ui,1375779501086
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,org.eclipse.jface,1375779501086
started,bundle,org.eclipse.pde,3.7.2.v201202080800,org.eclipse.pde,1375779501102
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,org.eclipse.pde.core,1375779501149
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,org.eclipse.pde.launching,1375779501165
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,org.eclipse.pde.ui,1375779501196
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,org.eclipse.search,1375779501258
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,org.eclipse.team.core,1375779501321
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,org.eclipse.ui,1375779501368
